# 选择
SINGLE|数据结构|在数据结构中，从逻辑上可以把数据结构分成（ ）。|动态结构和静态结构|紧凑结构和非紧凑结构|线性结构和非线性结构|内部结构和外部结构|C|5|EASY|从逻辑关系上划分为线性结构和非线性结构。
SINGLE|数据结构|顺序表中第一个元素的存储地址是100，每个元素的长度为2，则第4个元素的地址是（ ）。|106|108|110|112|A|5|EASY|地址=100+(4-1)*2=106。
SINGLE|数据结构|若让元素1，2，3，4，5依次进栈，则出栈次序不可能的是（ ）。|5，4，3，2，1|2，1，5，4，3|4，3，1，2，5|2，3，5，4，1|D|5|MEDIUM|该序列不符合栈的后进先出规则。
SINGLE|数据结构|线性表的顺序存储结构是一种（ ）的存储结构。|随机存取|顺序存取|索引存取|散列存取|A|5|EASY|顺序表支持随机访问。
SINGLE|数据结构|循环队列存储在数组A[0…m-1]中，入队时的操作是（ ）。|rear=rear+1|rear=(rear+1)%(m+1)|rear=(rear+1)%(m-1)|rear=(rear+1)%m|D|5|EASY|循环队列需对数组长度m取模。
SINGLE|数据结构|若以{4,5,6,7,8}作为权值构造哈夫曼树，则其带权路径长度为（ ）。|67|68|69|70|C|5|MEDIUM|按哈夫曼树构造规则计算WPL为69。
SINGLE|数据结构|以下数据结构中是非线性数据结构的是（ ）。|字符串|队列|树|栈|C|5|EASY|树属于非线性结构。
SINGLE|数据结构|队列的插入操作是在（ ）。|队尾|队头|队列任意位置|队头元素后|A|5|EASY|队列在队尾入队。
SINGLE|数据结构|一棵完全二叉树有1001个结点，其叶子结点数是（ ）。|250|500|254|501|D|5|MEDIUM|完全二叉树叶子结点数=(n+1)/2。
SINGLE|数据结构|在一个图中，所有顶点的度数之和等于边数的（ ）倍。|1|2|3|4|B|5|EASY|无向图中度数和等于2倍边数。
SINGLE|数据结构|与数据元素本身的形式、内容、相对位置、个数无关的是数据的（ ）。|存储结构|存储实现|逻辑结构|运算实现|C|5|MEDIUM|逻辑结构只描述数据之间的逻辑关系。
SINGLE|数据结构|下列排序方法中稳定的是（ ）。|希尔排序|快速排序|归并排序|堆排序|C|5|MEDIUM|归并排序是稳定排序。
SINGLE|数据结构|用邻接表表示图进行广度优先遍历时，通常借助（ ）。|栈|队列|树|图|B|5|EASY|BFS需要队列辅助。
SINGLE|数据结构|如果要求线性表既能较快查找，又能适应动态变化，最好采用（ ）查找法。|顺序查找|折半查找|分块查找|哈希查找|C|5|MEDIUM|分块查找兼顾查找效率和动态性。
SINGLE|数据结构|把一棵树转换为二叉树后，其形态是（ ）。|唯一的|有多种，但根结点都没有左孩子|有多种|有多种，但根结点都没有右孩子|B|5|MEDIUM|树转二叉树采用“左孩子右兄弟”表示法。
SINGLE|数据结构|设无向图G有n个顶点，则其最小生成树有（ ）条边。|n|n-1|2n|2n-1|B|5|EASY|生成树边数=顶点数-1。
SINGLE|数据结构|具有1025个结点的二叉树，其高度h的取值范围是（ ）。|11|12|11-1025|12-1025|D|5|MEDIUM|最小高度为12，最大为1025。
SINGLE|数据结构|具有n个顶点的有向图最多有（ ）条边。|n|n(n-1)|n(n+1)|n²|B|5|EASY|有向图不含自环时最多n(n-1)条边。
SINGLE|数据结构|带头结点的单链表head为空的判定条件是（ ）。|head==NULL|head->next==NULL|head->next!=NULL|head!=NULL|B|5|EASY|头结点存在但无数据结点。
SINGLE|数据结构|已知中序遍历badce，后序遍历bdeca，则先序遍历为（ ）。|adbce|decab|debac|abcde|A|5|HARD|根据遍历序列还原二叉树。
SINGLE|数据结构|5层满二叉树的结点总数是（ ）。|31|32|33|16|A|5|EASY|结点数=2^5−1。
SINGLE|数据结构|树最适合表示（ ）。|有序数据元素|无序数据元素|具有分支层次关系的数据|无联系的数据|C|5|EASY|树体现层次结构关系。
SINGLE|数据结构|有序表（11,22,33,44,55,66,77,88,99）中折半查找55需比较（ ）次。|1|2|3|4|B|5|MEDIUM|第二次比较找到55。
SINGLE|数据结构|判断有向图中是否存在环可采用（ ）。|广度优先遍历|拓扑排序|最短路径|关键路径|B|5|MEDIUM|无法完成拓扑排序说明存在环。
SINGLE|数据结构|无向图的邻接矩阵是一个（ ）。|对称矩阵|零矩阵|上三角矩阵|对角矩阵|A|5|EASY|无向图边关系对称。
SINGLE|数据结构|顺序栈删除栈顶元素后，栈顶指针top的变化是（ ）。|top不变|top=0|top=top+1|top=top-1|D|5|EASY|出栈后top减1。
SINGLE|数据结构|算法分析的两个主要方面是（ ）。|空间复杂度和时间复杂度|正确性和简单性|可读性和文档性|数据复杂性和程序复杂性|A|5|EASY|重点分析时间与空间消耗。
SINGLE|数据结构|算法是（ ）。|计算机程序|解决问题的计算方法|排序算法|解决问题的有限运算序列|D|5|EASY|算法强调有限性与步骤性。
SINGLE|数据结构|非空循环单链表head的尾结点p满足（ ）。|p->next==head|p->next==NULL|p==NULL|p==head|A|5|EASY|循环链表首尾相连。
SINGLE|数据结构|在单链表中，已知q是p的前驱，插入结点s应执行（ ）。|s->next=p->next;p->next=s|p->next=s->next;s->next=p|q->next=s;s->next=p|p->next=s;s->next=q|C|5|MEDIUM|应先让s指向p，再让q指向s。

# 判断
JUDGE|数据结构|图的广度优先遍历类似于二叉树的层次遍历。|正确|错误|||A|5|EASY|广度优先遍历按层次访问结点。
JUDGE|数据结构|树内各节点的度的最大值称为树的度。|正确|错误|||A|5|EASY|树的度定义为各结点度的最大值。
JUDGE|数据结构|哈夫曼树是带权路径长度最小的二叉树。|正确|错误|||A|5|EASY|哈夫曼树以最小WPL为构造目标。
JUDGE|数据结构|平衡二叉树是指左右子树高度差的绝对值不大于2的二叉树。|正确|错误|||B|5|MEDIUM|平衡二叉树要求高度差不超过1。
JUDGE|数据结构|直接插入排序是稳定的排序方法。|正确|错误|||A|5|EASY|相等元素相对次序不变。
JUDGE|数据结构|在无向图中，所有顶点的度数之和等于边数的2倍。|正确|错误|||A|5|EASY|无向图每条边贡献两个度。
JUDGE|数据结构|顺序存储方式的优点是存储密度大，且插入、删除运算效率高。|正确|错误|||B|5|EASY|顺序存储插入删除效率低。
JUDGE|数据结构|对n个关键字做快速排序，在最坏情况下时间复杂度为O(n²)。|正确|错误|||A|5|MEDIUM|如序列基本有序时。
JUDGE|数据结构|哈夫曼树构造过程中，两个权值最小的结点一定是兄弟结点。|正确|错误|||A|5|MEDIUM|每一步合并当前最小权值结点。
JUDGE|数据结构|用邻接表表示图进行广度优先遍历时，通常借助队列实现。|正确|错误|||A|5|EASY|BFS依赖队列结构。
JUDGE|数据结构|链式队列在删除运算时头指针和尾指针都要修改。|正确|错误|||B|5|MEDIUM|一般只需修改头指针。
JUDGE|数据结构|线性表的元素可以有多个直接前驱和多个直接后继。|正确|错误|||B|5|EASY|线性表至多一个前驱和后继。
JUDGE|数据结构|单链表的存储密度小于1。|正确|错误|||A|5|EASY|需额外存储指针域。
JUDGE|数据结构|循环队列不存在“假溢出”问题。|正确|错误|||A|5|EASY|通过取模解决假溢出。
JUDGE|数据结构|折半查找只适用于有序表。|正确|错误|||A|5|EASY|必须保证有序性。
JUDGE|数据结构|栈和队列都是操作受限的线性结构。|正确|错误|||A|5|EASY|访问位置受限。
JUDGE|数据结构|以链表作为栈的存储结构，出栈前必须判空。|正确|错误|||A|5|EASY|避免非法访问。
JUDGE|数据结构|折半查找要求查找表必须顺序存储且元素有序。|正确|错误|||A|5|MEDIUM|二分查找依赖随机访问。
JUDGE|数据结构|完全二叉树中某结点若无左孩子，则必是叶结点。|正确|错误|||A|5|MEDIUM|完全二叉树结构性质。
JUDGE|数据结构|对二叉排序树进行中序遍历可得到递增序列。|正确|错误|||A|5|EASY|中序遍历符合BST性质。
JUDGE|数据结构|冒泡排序是一种不稳定的排序方法。|正确|错误|||B|5|EASY|冒泡排序是稳定排序。
JUDGE|数据结构|完全二叉树有1001个结点，其叶子结点数为501。|正确|错误|||A|5|MEDIUM|叶子结点数=(n+1)/2。
JUDGE|数据结构|完全二叉树的叶子结点只可能出现在最下面两层。|正确|错误|||A|5|EASY|完全二叉树的性质。
JUDGE|数据结构|单链表的存储密度小于1。|正确|错误|||A|5|EASY|需额外指针域。
JUDGE|数据结构|线性表的顺序存储结构是一种顺序存取结构。|正确|错误|||B|5|MEDIUM|顺序表支持随机存取。
JUDGE|数据结构|完全二叉树中某结点若无左孩子，则它一定是叶结点。|正确|错误|||A|5|MEDIUM|结构决定其无右孩子。
JUDGE|数据结构|哈夫曼编码是不等长编码。|正确|错误|||A|5|EASY|不同字符编码长度不同。
JUDGE|数据结构|链式存储结构适合频繁插入和删除操作。|正确|错误|||A|5|EASY|无需大量元素移动。
JUDGE|数据结构|单链表可以随机访问任一元素。|正确|错误|||B|5|EASY|只能顺序访问。
JUDGE|数据结构|带头结点的单链表中，头指针指向第一个数据结点。|正确|错误|||B|5|EASY|头指针指向头结点。

# 应用题
APPLICATION|数据结构|给出对应图（有向图或无向图）的邻接矩阵和邻接表，并确定各顶点的出度和入度。|||||1.构造邻接矩阵 2.构造邻接表 3.统计各顶点入度与出度|20|MEDIUM|考查图的两种存储结构及顶点度的计算方法。
APPLICATION|数据结构|构造一棵哈夫曼树并计算其带权路径长度（WPL）。|||||1.选取权值最小的两个结点 2.合并生成新结点 3.重复构造 4.计算WPL|20|MEDIUM|考查哈夫曼树构造过程与WPL计算。
APPLICATION|数据结构|给定关键字序列，写出二叉排序树的构造过程并给出中序遍历结果。|||||1.按序插入结点 2.构造BST 3.中序遍历输出|20|MEDIUM|考查二叉排序树的性质与遍历结果。
APPLICATION|数据结构|利用Prim算法或Kruskal算法构造给定无向图的最小生成树。|||||1.选择Prim或Kruskal算法 2.逐步选取最小权边 3.构造生成树|25|MEDIUM|考查最小生成树的两种经典算法。
APPLICATION|数据结构|根据给定散列函数，采用线性探测法或二次探测法处理冲突，构造散列表并计算查找成功时的平均查找长度ASL。|||||1.设计散列函数 2.处理冲突 3.构造散列表 4.计算ASL|25|HARD|考查散列存储、冲突处理及性能分析。
APPLICATION|数据结构|简单选择排序算法是否稳定？请举例说明。|||||1.分析排序过程 2.比较相等关键字位置变化 3.给出实例说明|15|MEDIUM|考查排序算法的稳定性概念。
APPLICATION|数据结构|写出给定有向无环图的拓扑排序序列。|||||1.计算各顶点入度 2.依次输出入度为0的顶点 3.完成排序|15|MEDIUM|考查拓扑排序思想与实现步骤。
APPLICATION|数据结构|已知二叉树的先序序列为A B D F C E G H，中序序列为B F D A G E H C，请画出该二叉树。|||||1.根据先序确定根结点 2.划分左右子树 3.递归构造二叉树|25|HARD|考查由遍历序列还原二叉树的能力。
# 算法设计题
ALGORITHM|数据结构|设计并实现二叉树的先序、中序、后序遍历算法，并统计结点个数。|||||1.递归遍历 2.统计结点数|25|MEDIUM|考查二叉树遍历算法。
ALGORITHM|数据结构|设计并实现折半查找算法。|||||1.有序表 2.中间比较 3.缩小区间|20|EASY|考查二分查找基本思想。
ALGORITHM|数据结构|通过一次遍历在单链表中找出值最大的结点。|||||1.设置max指针 2.遍历比较|20|EASY|考查链表遍历能力。
ALGORITHM|数据结构|编程实现冒泡排序算法。|||||1.相邻比较 2.多趟扫描|20|EASY|考查基本排序算法。
ALGORITHM|数据结构|以顺序表为存储结构，实现简单选择排序算法。|||||1.选择最小元素 2.交换位置|20|EASY|考查选择排序原理。
